類別,住宅價格月指數,月變動率,季變動率,年變動率
全市,132.6,0.48%,1.10%,4.88%
大廈,138.74,0.49%,1.12%,5.74%
透天厝,125.66,0.32%,0.81%,3.52%
中西區,136.96,1.25%,3.56%,8.48%
安平區,139.44,1.17%,2.86%,8.35%
南區,129.71,0.17%,0.32%,2.12%
北區,132.48,0.72%,1.43%,4.06%
永康區,132.85,0.24%,0.36%,1.64%
安南區,132.41,0.95%,2.04%,8.29%
東區,130.19,0.73%,1.69%,4.53%
仁德區,132.05,-0.17%,-0.94%,2.84%
歸仁區,134.97,0.35%,-0.05%,6.38%
南科區域,147.68,0.46%,1.32%,10.90%
善化區,154.07,0.77%,1.96%,12.54%
新市區,135.65,-0.51%,-0.68%,5.25%
佳里區,131.36,-0.62%,-1.12%,2.81%
新營區,129.51,-0.36%,-0.31%,3.66%
