date,open,high,low,close,漲跌,漲跌,振幅,張數,筆數,均張,volume,外資,投信,自營,合計
2023/12/18,579,585,577,585,0,0,1.37,"25,907","10,786",2.4,151,,,,
2023/12/15,585,586,580,585,3,0.52,1.03,"58,693","35,791",1.64,343,"14,136",388,-902,"13,622"
2023/12/14,581,582,579,582,8,1.39,0.52,"40,581","33,409",1.21,236,"22,224",120,"-1,038","21,306"
2023/12/13,576,579,576,577,-1,-0.17,0.52,"24,328","18,524",1.31,140,-118,-57.7,420,244
2023/12/12,580,581,575,578,4,0.7,1.05,"32,857","22,572",1.46,190,"9,876",-62.6,-387,"9,426"
2023/12/11,572,575,570,574,4,0.7,0.88,"29,204","19,353",1.51,167,"4,587",-123,252,"4,717"
2023/12/8,574,577,570,570,4,0.71,1.24,"39,244","23,505",1.67,225,"7,907",-826,-896,"6,185"
2023/12/7,570,573,566,566,-4,-0.7,1.23,"24,259","26,821",0.9,138,"-2,554",-301,-295,"-3,150"
2023/12/6,568,575,568,570,0,0,1.23,"23,116","15,802",1.46,132,"2,000",-53,165,"2,113"
2023/12/5,571,572,567,570,-4,-0.7,0.87,"27,356","26,933",1.02,156,"-4,359","-1,211",-419,"-5,989"
2023/12/4,582,582,571,574,-5,-0.86,1.9,"29,424","23,004",1.28,169,"-5,240",-6.38,10,"-5,237"
2023/12/1,573,579,573,579,2,0.35,1.04,"28,798","18,507",1.56,166,"7,100",-611,"-1,060","5,429"
2023/11/30,576,577,570,577,3,0.52,1.22,"54,365","18,807",2.89,313,"4,882",-68,-770,"4,044"
2023/11/29,578,579,570,574,-1,-0.17,1.57,"27,787","23,135",1.2,159,367,55,-553,-132
2023/11/28,565,576,565,575,7,1.23,1.94,"26,932","17,693",1.52,154,"3,322",-98.5,687,"3,911"
2023/11/27,573,577,568,568,-7,-1.22,1.57,"20,322","28,620",0.71,116,"-2,134",59,-56,"-2,131"
2023/11/24,577,578,574,575,-3,-0.52,0.69,"12,503","12,961",0.96,71.9,"-1,134",69.7,-118,"-1,182"
2023/11/23,574,578,574,578,1,0.17,0.69,"15,144","15,621",0.97,87.2,"2,838",-253,-218,"2,367"
2023/11/22,576,579,574,577,-8,-1.37,0.85,"23,922","31,701",0.75,138,"-3,142",-478,-230,"-3,851"
2023/11/21,582,585,581,585,8,1.39,0.69,"39,881","35,442",1.13,233,"17,669",97.1,-772,"16,994"
