date,open,high,low,close,漲跌,漲跌.1,振幅,張數,筆數,均張,億元,外資,投信,自營,合計
,579.0,585.0,577.0,585.0,0.0,0.0,1.37,"25,907","10,786",2.4,151.0,,,,
,585.0,586.0,580.0,585.0,3.0,0.52,1.03,"58,693","35,791",1.64,343.0,"14,136",388,-902,"13,622"
,581.0,582.0,579.0,582.0,8.0,1.39,0.52,"40,581","33,409",1.21,236.0,"22,224",120,"-1,038","21,306"
,576.0,579.0,576.0,577.0,-1.0,-0.17,0.52,"24,328","18,524",1.31,140.0,-118,-57.7,420,244
,580.0,581.0,575.0,578.0,4.0,0.7,1.05,"32,857","22,572",1.46,190.0,"9,876",-62.6,-387,"9,426"
,572.0,575.0,570.0,574.0,4.0,0.7,0.88,"29,204","19,353",1.51,167.0,"4,587",-123,252,"4,717"
,574.0,577.0,570.0,570.0,4.0,0.71,1.24,"39,244","23,505",1.67,225.0,"7,907",-826,-896,"6,185"
,570.0,573.0,566.0,566.0,-4.0,-0.7,1.23,"24,259","26,821",0.9,138.0,"-2,554",-301,-295,"-3,150"
,568.0,575.0,568.0,570.0,0.0,0.0,1.23,"23,116","15,802",1.46,132.0,"2,000",-53,165,"2,113"
,571.0,572.0,567.0,570.0,-4.0,-0.7,0.87,"27,356","26,933",1.02,156.0,"-4,359","-1,211",-419,"-5,989"
,582.0,582.0,571.0,574.0,-5.0,-0.86,1.9,"29,424","23,004",1.28,169.0,"-5,240",-6.38,10,"-5,237"
,573.0,579.0,573.0,579.0,2.0,0.35,1.04,"28,798","18,507",1.56,166.0,"7,100",-611,"-1,060","5,429"
,576.0,577.0,570.0,577.0,3.0,0.52,1.22,"54,365","18,807",2.89,313.0,"4,882",-68,-770,"4,044"
,578.0,579.0,570.0,574.0,-1.0,-0.17,1.57,"27,787","23,135",1.2,159.0,367,55,-553,-132
,565.0,576.0,565.0,575.0,7.0,1.23,1.94,"26,932","17,693",1.52,154.0,"3,322",-98.5,687,"3,911"
,573.0,577.0,568.0,568.0,-7.0,-1.22,1.57,"20,322","28,620",0.71,116.0,"-2,134",59,-56,"-2,131"
,577.0,578.0,574.0,575.0,-3.0,-0.52,0.69,"12,503","12,961",0.96,71.9,"-1,134",69.7,-118,"-1,182"
,574.0,578.0,574.0,578.0,1.0,0.17,0.69,"15,144","15,621",0.97,87.2,"2,838",-253,-218,"2,367"
,576.0,579.0,574.0,577.0,-8.0,-1.37,0.85,"23,922","31,701",0.75,138.0,"-3,142",-478,-230,"-3,851"
,582.0,585.0,581.0,585.0,8.0,1.39,0.69,"39,881","35,442",1.13,233.0,"17,669",97.1,-772,"16,994"
,576.0,579.0,575.0,577.0,-3.0,-0.52,0.69,"26,606","21,159",1.26,153.0,"1,841",-125,270,"1,985"
,579.0,583.0,579.0,580.0,-3.0,-0.51,0.69,"22,878","22,517",1.02,133.0,"3,974",296,134,"4,404"
,581.0,583.0,578.0,583.0,2.0,0.34,0.86,"31,059","25,771",1.21,181.0,"10,840",105,518,"11,464"
,583.0,583.0,575.0,581.0,9.0,1.57,1.4,"53,122","56,108",0.95,308.0,"26,759",-683,-70.7,"26,004"
,576.0,576.0,571.0,572.0,1.0,0.18,0.88,"25,367","29,653",0.86,146.0,"8,273",-25,"1,044","9,292"
,579.0,580.0,571.0,571.0,14.0,2.51,1.62,"46,556","51,281",0.91,267.0,"16,596",813,109,"17,518"
,555.0,557.0,554.0,557.0,0.0,0.0,0.54,"14,106","15,342",0.92,78.4,"1,377",10,-215,"1,172"
,551.0,557.0,551.0,557.0,1.0,0.18,1.08,"13,650","12,731",1.07,75.8,"1,932",142,18.2,"2,092"
,550.0,557.0,550.0,556.0,1.0,0.18,1.26,"16,780","17,845",0.94,93.1,"3,873",8,148,"4,029"
,552.0,555.0,550.0,555.0,5.0,0.91,0.91,"16,990","15,356",1.11,94.1,"6,471",285,-255,"6,500"
,553.0,556.0,550.0,550.0,1.0,0.18,1.09,"31,297","32,684",0.96,173.0,"12,831",-104,163,"12,890"
,547.0,549.0,545.0,549.0,2.0,0.37,0.73,"16,673","17,911",0.93,91.3,"1,332",258,-13,"1,577"
,536.0,547.0,535.0,547.0,19.0,3.6,2.27,"31,076","32,075",0.97,168.0,"10,883",565,275,"11,724"
,533.0,533.0,527.0,528.0,-1.0,-0.19,1.13,"14,029","15,452",0.91,74.3,"-4,465",94.7,365,"-4,006"
